OTU,Kingdom,Phylum ,Class,Order,Family,Genus,Species
New.CleanUp.ReferenceOTU14384,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,Clostridium sensu stricto 1,uncultured bacterium
New.CleanUp.ReferenceOTU5767,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Plesiomonas,Plesiomonas shigelloides
New.CleanUp.ReferenceOTU6942,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,Clostridium sensu stricto 1,uncultured bacterium
New.CleanUp.ReferenceOTU6944,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,Clostridium sensu stricto 1,uncultured bacterium
New.CleanUp.ReferenceOTU7016,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,Clostridium sensu stricto 1,uncultured bacterium
New.CleanUp.ReferenceOTU7014,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,Clostridium sensu stricto 1,uncultured bacterium
New.CleanUp.ReferenceOTU7011,Unassigned,,,,,,
New.CleanUp.ReferenceOTU7010,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,Clostridium sensu stricto 1,uncultured bacterium
New.CleanUp.ReferenceOTU19779,Unassigned,,,,,,
New.CleanUp.ReferenceOTU19770,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,MNG7,uncultured bacterium,uncultured bacterium
New.CleanUp.ReferenceOTU19194,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,Clostridium sensu stricto 1,uncultured bacterium
New.CleanUp.ReferenceOTU479,Bacteria,Proteobacteria,Gammaproteobacteria,X35,uncultured gamma proteobacterium,uncultured gamma proteobacterium,uncultured gamma proteobacterium
New.CleanUp.ReferenceOTU478,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,uncultured,
New.CleanUp.ReferenceOTU471,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionIII,FamilyI,Leptolyngbya,
New.CleanUp.ReferenceOTU470,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,uncultured,uncultured bacterium
New.CleanUp.ReferenceOTU473,Bacteria,Deinococcus-Thermus,Deinococci,Deinococcales,Deinococcaceae,Deinococcus,
New.CleanUp.ReferenceOTU472,Unassigned,,,,,,
New.CleanUp.ReferenceOTU475,Bacteria,Cyanobacteria,Chloroplast,,,,
New.CleanUp.ReferenceOTU474,Bacteria,Saccharibacteria,,,,,
New.CleanUp.ReferenceOTU477,Bacteria,Firmicutes,Clostridia,Clostridiales,Peptostreptococcaceae,,
New.CleanUp.ReferenceOTU476,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,uncultured,uncultured bacterium
New.CleanUp.ReferenceOTU18083,Unassigned,,,,,,
New.CleanUp.ReferenceOTU948,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Serratia,Serratia sp. SBS
New.CleanUp.ReferenceOTU942,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,Clostridium sensu stricto 1,uncultured bacterium
New.CleanUp.ReferenceOTU22351,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,Clostridium sensu stricto 1,uncultured bacterium
New.CleanUp.ReferenceOTU8976,Unassigned,,,,,,
New.CleanUp.ReferenceOTU3389,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Plesiomonas,uncultured bacterium
New.CleanUp.ReferenceOTU3382,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,Acidimicrobiales Incertae Sedis,Candidatus Microthrix,uncultured bacterium
New.CleanUp.ReferenceOTU3381,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,uncultured,,
New.CleanUp.ReferenceOTU3385,Bacteria,Proteobacteria,Gammaproteobacteria,EC3,uncultured bacterium,uncultured bacterium,uncultured bacterium
New.CleanUp.ReferenceOTU3384,Bacteria,Actinobacteria,Actinobacteria,Frankiales,Frankiaceae,uncultured bacterium,uncultured bacterium
New.CleanUp.ReferenceOTU21511,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,Clostridium sensu stricto 1,uncultured bacterium
New.CleanUp.ReferenceOTU21518,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Synechococcus,uncultured bacterium
New.CleanUp.ReferenceOTU2267,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,Clostridium sensu stricto 1,uncultured bacterium
New.CleanUp.ReferenceOTU2266,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,Clostridium sensu stricto 1,uncultured bacterium
New.CleanUp.ReferenceOTU2264,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,uncultured bacterium
New.CleanUp.ReferenceOTU2260,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,Clostridium sensu stricto 1,uncultured bacterium
New.CleanUp.ReferenceOTU2268,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,Clostridium sensu stricto 1,uncultured bacterium
New.CleanUp.ReferenceOTU14914,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,Clostridium sensu stricto 1,uncultured bacterium
New.CleanUp.ReferenceOTU17752,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas allosaccharophila
New.CleanUp.ReferenceOTU8658,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,Clostridium sensu stricto 1,uncultured bacterium
New.CleanUp.ReferenceOTU3608,Bacteria,Proteobacteria,Gammaproteobacteria,X35,uncultured bacterium,uncultured bacterium,uncultured bacterium
New.CleanUp.ReferenceOTU8655,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,Clostridium sensu stricto 1,uncultured bacterium
New.CleanUp.ReferenceOTU679,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,MNG7,uncultured bacterium,uncultured bacterium
New.CleanUp.ReferenceOTU678,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,Clostridium sensu stricto 1,uncultured bacterium
New.CleanUp.ReferenceOTU672,Bacteria,Proteobacteria,Gammaproteobacteria,HOC36,uncultured bacterium,uncultured bacterium,uncultured bacterium
New.CleanUp.ReferenceOTU16409,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,Clostridium sensu stricto 1,uncultured bacterium
New.CleanUp.ReferenceOTU4378,Unassigned,,,,,,
New.CleanUp.ReferenceOTU4377,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,uncultured bacterium
New.CleanUp.ReferenceOTU4376,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI, Ambiguous_taxa, Ambiguous_taxa
New.CleanUp.ReferenceOTU4371,Bacteria,Firmicutes,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Erysipelothrix,uncultured bacterium
New.CleanUp.ReferenceOTU4370,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,Clostridium sensu stricto 1,uncultured bacterium
New.CleanUp.ReferenceOTU11751,Unassigned,,,,,,
New.CleanUp.ReferenceOTU11757,Unassigned,,,,,,
New.CleanUp.ReferenceOTU7637,Unassigned,,,,,,
New.CleanUp.ReferenceOTU7636,Bacteria,Chlamydiae,Chlamydiae,Chlamydiales,Parachlamydiaceae,Neochlamydia,uncultured bacterium corvenA4
New.CleanUp.ReferenceOTU7635,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI, Ambiguous_taxa, Ambiguous_taxa
New.CleanUp.ReferenceOTU7634,Bacteria,Chlamydiae,Chlamydiae,Chlamydiales,Simkaniaceae,uncultured,uncultured Chlamydiales bacterium
New.CleanUp.ReferenceOTU7630,Bacteria,Chlamydiae,Chlamydiae,Chlamydiales,Waddliaceae,Waddlia,Waddliaceae bacterium cvE65
New.CleanUp.ReferenceOTU7639,Bacteria,Chlamydiae,Chlamydiae,Chlamydiales,Parachlamydiaceae,Neochlamydia,uncultured bacterium
New.CleanUp.ReferenceOTU7638,Bacteria,Chlamydiae,Chlamydiae,Chlamydiales,Parachlamydiaceae,,
New.CleanUp.ReferenceOTU9297,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Macrococcus,
New.CleanUp.ReferenceOTU9299,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,uncultured bacterium
New.CleanUp.ReferenceOTU5779,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Plesiomonas,Plesiomonas shigelloides
New.CleanUp.ReferenceOTU5770,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,Clostridium sensu stricto 1,uncultured bacterium
New.CleanUp.ReferenceOTU18662,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,Clostridium sensu stricto 1,uncultured bacterium
New.CleanUp.ReferenceOTU18661,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,Clostridium sensu stricto 1,uncultured bacterium
New.CleanUp.ReferenceOTU18660,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,Clostridium sensu stricto 1,uncultured bacterium
New.CleanUp.ReferenceOTU10932,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,MNG7,uncultured bacterium,uncultured bacterium
New.CleanUp.ReferenceOTU7198,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,Clostridium sensu stricto 1,uncultured bacterium
New.CleanUp.ReferenceOTU7193,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,Clostridium sensu stricto 1,uncultured bacterium
New.CleanUp.ReferenceOTU7196,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,Clostridium sensu stricto 1,uncultured bacterium
New.CleanUp.ReferenceOTU9906,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI,Synechococcus,
New.CleanUp.ReferenceOTU9902,Unassigned,,,,,,
New.CleanUp.ReferenceOTU9901,Bacteria,Cyanobacteria,Cyanobacteria,SubsectionI,FamilyI, Ambiguous_taxa, Ambiguous_taxa
New.CleanUp.ReferenceOTU9900,Unassigned,,,,,,
New.CleanUp.ReferenceOTU21757,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Ralstonia,uncultured bacterium
New.CleanUp.ReferenceOTU21758,Bacteria,Planctomycetes,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,CL500-3,uncultured bacterium
New.CleanUp.ReferenceOTU22516,Unassigned,,,,,,
New.CleanUp.ReferenceOTU22518,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,Clostridium sensu stricto 1,uncultured bacterium
New.CleanUp.ReferenceOTU11516,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,Clostridium sensu stricto 1,uncultured bacterium
New.CleanUp.ReferenceOTU11517,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,Clostridium sensu stricto 1,uncultured bacterium
New.CleanUp.ReferenceOTU17821,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,Clostridium sensu stricto 1,uncultured bacterium
New.CleanUp.ReferenceOTU14037,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Cetobacterium,uncultured bacterium
New.CleanUp.ReferenceOTU16882,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,Clostridium sensu stricto 1,uncultured bacterium
New.CleanUp.ReferenceOTU14267,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Pirellula,
New.CleanUp.ReferenceOTU772,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,
New.CleanUp.ReferenceOTU1906,Unassigned,,,,,,
New.CleanUp.ReferenceOTU1905,Bacteria,Proteobacteria,Gammaproteobacteria,X35,,,
New.CleanUp.ReferenceOTU1904,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,Clostridium sensu stricto 1,uncultured bacterium
New.CleanUp.ReferenceOTU1903,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,uncultured,uncultured bacterium
New.CleanUp.ReferenceOTU1902,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,uncultured,
New.CleanUp.ReferenceOTU1901,Bacteria,Chlamydiae,Chlamydiae,Chlamydiales,Simkaniaceae,,
New.CleanUp.ReferenceOTU1900,Unassigned,,,,,,
New.CleanUp.ReferenceOTU1908,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,MNG7,uncultured bacterium,uncultured bacterium
New.CleanUp.ReferenceOTU4997,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,Clostridium sensu stricto 1,uncultured bacterium
New.CleanUp.ReferenceOTU4996,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,Clostridium sensu stricto 1,uncultured bacterium
New.CleanUp.ReferenceOTU4995,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,Clostridium sensu stricto 1,uncultured bacterium
New.CleanUp.ReferenceOTU4994,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,Clostridium sensu stricto 1,uncultured bacterium
New.CleanUp.ReferenceOTU4990,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,Clostridium sensu stricto 1,uncultured bacterium
New.CleanUp.ReferenceOTU9829,Bacteria,Saccharibacteria,uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium
New.CleanUp.ReferenceOTU9820,Bacteria,Acidobacteria,Blastocatellia,Blastocatellales,Blastocatellaceae (Subgroup 4),Nov.24,uncultured bacterium
New.CleanUp.ReferenceOTU9825,Bacteria,Planctomycetes,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,CL500-3,uncultured bacterium
New.CleanUp.ReferenceOTU5111,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,Clostridium sensu stricto 1,uncultured bacterium
New.CleanUp.ReferenceOTU5115,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,Clostridium sensu stricto 1,uncultured bacterium
New.CleanUp.ReferenceOTU2766,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,Clostridium sensu stricto 1,uncultured bacterium
New.CleanUp.ReferenceOTU2767,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,Clostridium sensu stricto 1,
New.CleanUp.ReferenceOTU826,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Cetobacterium,uncultured bacterium
New.CleanUp.ReferenceOTU8448,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,Clostridium sensu stricto 1,uncultured bacterium
New.CleanUp.ReferenceOTU3417,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Aquabacterium,uncultured bacterium
New.CleanUp.ReferenceOTU3413,Unassigned,,,,,,
New.CleanUp.ReferenceOTU3412,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,uncultured,uncultured bacterium
New.CleanUp.ReferenceOTU3410,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Aquabacterium,uncultured bacterium
New.CleanUp.ReferenceOTU1126,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,Clostridium sensu stricto 1,uncultured bacterium
New.CleanUp.ReferenceOTU1121,Bacteria,Actinobacteria,Actinobacteria,Corynebacteriales,Corynebacteriaceae,Corynebacterium, Ambiguous_taxa
New.CleanUp.ReferenceOTU1120,Unassigned,,,,,,
New.CleanUp.ReferenceOTU1123,Bacteria,Verrucomicrobia,Verrucomicrobiae,Verrucomicrobiales,Verrucomicrobiaceae,uncultured,
New.CleanUp.ReferenceOTU1128,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,uncultured,uncultured bacterium
New.CleanUp.ReferenceOTU9318,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Candidatus Cardinium,
New.CleanUp.ReferenceOTU9310,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,Clostridium sensu stricto 1,uncultured bacterium
New.CleanUp.ReferenceOTU11659,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,Clostridium sensu stricto 1,uncultured bacterium
New.CleanUp.ReferenceOTU11658,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,Clostridium sensu stricto 1,
New.CleanUp.ReferenceOTU10018,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,Clostridium sensu stricto 1,uncultured bacterium
New.CleanUp.ReferenceOTU10015,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,Clostridium sensu stricto 1,uncultured bacterium
New.CleanUp.ReferenceOTU7403,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bosea,uncultured bacterium
New.CleanUp.ReferenceOTU7404,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp. IGCAR-1/07
New.CleanUp.ReferenceOTU7405,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp. IGCAR-1/07
New.CleanUp.ReferenceOTU7406,Bacteria,Firmicutes,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,
New.CleanUp.ReferenceOTU5924,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Cetobacterium,uncultured bacterium
New.CleanUp.ReferenceOTU13095,Bacteria,Cyanobacteria,Melainabacteria,Obscuribacterales, Ambiguous_taxa, Ambiguous_taxa, Ambiguous_taxa
New.CleanUp.ReferenceOTU775,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,Clostridium sensu stricto 1,uncultured bacterium
New.CleanUp.ReferenceOTU12323,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,Sarcina,uncultured bacterium
New.CleanUp.ReferenceOTU771,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,Clostridium sensu stricto 1,uncultured bacterium
New.CleanUp.ReferenceOTU4708,Bacteria,Gemmatimonadetes,Gemmatimonadetes,Gemmatimonadales,Gemmatimonadaceae,Gemmatimonas,uncultured bacterium
New.CleanUp.ReferenceOTU20633,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Cetobacterium,uncultured bacterium
New.CleanUp.ReferenceOTU20631,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Cetobacterium,uncultured bacterium
New.CleanUp.ReferenceOTU2117,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,uncultured,,
New.CleanUp.ReferenceOTU2116,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,uncultured,uncultured bacterium,uncultured bacterium
New.CleanUp.ReferenceOTU2110,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Cetobacterium,uncultured bacterium
New.CleanUp.ReferenceOTU2118,Bacteria,Actinobacteria,Actinobacteria,Streptomycetales,Streptomycetaceae,Streptomyces,
New.CleanUp.ReferenceOTU21276,Bacteria,Chlamydiae,Chlamydiae,Chlamydiales,Parachlamydiaceae,Neochlamydia,
New.CleanUp.ReferenceOTU4527,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Paeniglutamicibacter,Arthrobacter sp. AB_65
New.CleanUp.ReferenceOTU4524,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Leucobacter,
New.CleanUp.ReferenceOTU4523,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Coxiellaceae,Aquicella,uncultured bacterium
New.CleanUp.ReferenceOTU4528,Unassigned,,,,,,
New.CleanUp.ReferenceOTU16142,Unassigned,,,,,,
New.CleanUp.ReferenceOTU1327,Unassigned,,,,,,
New.CleanUp.ReferenceOTU1325,Unassigned,,,,,,
New.CleanUp.ReferenceOTU1321,Unassigned,,,,,,
New.CleanUp.ReferenceOTU1320,Unassigned,,,,,,
New.CleanUp.ReferenceOTU14782,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,Clostridium sensu stricto 1,uncultured bacterium
New.CleanUp.ReferenceOTU14783,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,Clostridium sensu stricto 1,uncultured bacterium
New.CleanUp.ReferenceOTU11491,Bacteria,TM6 (Dependentiae),uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium,uncultured bacterium
New.CleanUp.ReferenceOTU2149,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae UCG-014,uncultured bacterium
New.CleanUp.ReferenceOTU2147,Bacteria,Actinobacteria,Acidimicrobiia,Acidimicrobiales,uncultured,uncultured bacterium,uncultured bacterium
New.CleanUp.ReferenceOTU2144,Unassigned,,,,,,
New.CleanUp.ReferenceOTU2142,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,uncultured bacterium
New.CleanUp.ReferenceOTU2143,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,Acinetobacter sp. IGCAR-9/07
New.CleanUp.ReferenceOTU3899,Unassigned,,,,,,
New.CleanUp.ReferenceOTU3891,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas salmonicida
New.CleanUp.ReferenceOTU3890,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas eucrenophila
New.CleanUp.ReferenceOTU3896,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,Clostridium sensu stricto 1,uncultured bacterium
New.CleanUp.ReferenceOTU3895,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,Clostridium sensu stricto 1,uncultured bacterium
New.CleanUp.ReferenceOTU3894,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Cetobacterium,uncultured bacterium
New.CleanUp.ReferenceOTU24189,Unassigned,,,,,,
New.CleanUp.ReferenceOTU24188,Bacteria,Cyanobacteria,Melainabacteria,Obscuribacterales,uncultured bacterium,uncultured bacterium,uncultured bacterium
New.CleanUp.ReferenceOTU24185,Unassigned,,,,,,
New.CleanUp.ReferenceOTU24186,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas salmonicida
New.CleanUp.ReferenceOTU16923,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,Clostridium sensu stricto 1,uncultured bacterium
New.CleanUp.ReferenceOTU16924,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,Clostridium sensu stricto 1,uncultured bacterium
New.CleanUp.ReferenceOTU3236,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,uncultured,uncultured bacterium
New.CleanUp.ReferenceOTU3235,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,Clostridium sensu stricto 1,uncultured bacterium
New.CleanUp.ReferenceOTU3232,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,LWSR-14,,
New.CleanUp.ReferenceOTU3231,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,Clostridium sensu stricto 1,uncultured bacterium
New.CleanUp.ReferenceOTU3230,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminiclostridium 1,uncultured bacterium
New.CleanUp.ReferenceOTU12125,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,Clostridium sensu stricto 1,uncultured bacterium
New.CleanUp.ReferenceOTU12122,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,Clostridium sensu stricto 1,uncultured bacterium
New.CleanUp.ReferenceOTU19117,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,Clostridium sensu stricto 1,uncultured bacterium
New.CleanUp.ReferenceOTU19110,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,Clostridium sensu stricto 1,uncultured bacterium
New.CleanUp.ReferenceOTU169,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Plesiomonas,uncultured bacterium
New.CleanUp.ReferenceOTU168,Bacteria,Firmicutes,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus sp. IGCAR-1/07
New.CleanUp.ReferenceOTU167,Bacteria,Proteobacteria,Gammaproteobacteria,Aeromonadales,Aeromonadaceae,Aeromonas,Aeromonas eucrenophila
New.CleanUp.ReferenceOTU166,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Plesiomonas,uncultured bacterium
New.CleanUp.ReferenceOTU165,Unassigned,,,,,,
New.CleanUp.ReferenceOTU164,Unassigned,,,,,,
New.CleanUp.ReferenceOTU163,Bacteria,Fusobacteria,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Cetobacterium,uncultured bacterium
New.CleanUp.ReferenceOTU162,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Proteus, Ambiguous_taxa
New.CleanUp.ReferenceOTU161,Bacteria,Firmicutes,Bacilli,Bacillales,Staphylococcaceae,Macrococcus, Ambiguous_taxa
New.CleanUp.ReferenceOTU160,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,Clostridium sensu stricto 1,uncultured bacterium
New.CleanUp.ReferenceOTU5305,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,Clostridium sensu stricto 1,uncultured bacterium
New.CleanUp.ReferenceOTU5307,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,Clostridium sensu stricto 1,uncultured bacterium
New.CleanUp.ReferenceOTU5306,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,Clostridium sensu stricto 1,uncultured bacterium
New.CleanUp.ReferenceOTU8764,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,Clostridium sensu stricto 1,uncultured bacterium
New.CleanUp.ReferenceOTU789,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,Clostridium sensu stricto 1,uncultured bacterium
New.CleanUp.ReferenceOTU781,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,Clostridium sensu stricto 1,uncultured bacterium
New.CleanUp.ReferenceOTU780,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae 1,Clostridium sensu stricto 1,Clostridium sp. ND2
New.CleanUp.ReferenceOTU785,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,uncultured,
New.CleanUp.ReferenceOTU784,Unassigned,,,,,,
New.CleanUp.ReferenceOTU3534,Bacteria,Firmicutes,Clostridia,Clostridiales,Family XIII,uncultured,uncultured bacterium
New.CleanUp.ReferenceOTU3535,Unassigned,,,,,,
New.CleanUp.ReferenceOTU13437,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,uncultured,uncultured bacterium
New.CleanUp.ReferenceOTU8703,Bacteria,Firmicutes,Clostridia,Clostridiales,,,
